Date,España,Italia
2021-03-28 00:00:00+00:00,3255324,3532057
2021-03-29 00:00:00+00:00,3270825,3544957
2021-03-30 00:00:00+00:00,3275819,3561012
2021-03-31 00:00:00+00:00,3284353,3584899
2021-04-01 00:00:00+00:00,3291394,3607083
2021-04-02 00:00:00+00:00,3291394,3629000
2021-04-03 00:00:00+00:00,3300965,3650247
2021-04-04 00:00:00+00:00,3300965,3668264
2021-04-05 00:00:00+00:00,3311325,3678944
2021-04-06 00:00:00+00:00,3317948,3686707
2021-04-07 00:00:00+00:00,3326736,3700393
2021-04-08 00:00:00+00:00,3336637,3717602
2021-04-09 00:00:00+00:00,3347512,3736526
2021-04-10 00:00:00+00:00,3347512,3754077
2021-04-11 00:00:00+00:00,3347512,3769814
2021-04-12 00:00:00+00:00,3370256,3779594
2021-04-13 00:00:00+00:00,3376548,3793033
2021-04-14 00:00:00+00:00,3387022,3809193
2021-04-15 00:00:00+00:00,3396685,3826156
2021-04-16 00:00:00+00:00,3407283,3842079
2021-04-17 00:00:00+00:00,3407283,3857443
2021-04-18 00:00:00+00:00,3407283,3870131
2021-04-19 00:00:00+00:00,3428354,3878994
2021-04-20 00:00:00+00:00,3428354,3891063
2021-04-21 00:00:00+00:00,3446072,3904899
2021-04-22 00:00:00+00:00,3456886,3920945
2021-04-23 00:00:00+00:00,3468617,3935703
2021-04-24 00:00:00+00:00,3468617,3949517
2021-04-25 00:00:00+00:00,3468617,3962674
2021-04-26 00:00:00+00:00,3488469,3971114
2021-04-27 00:00:00+00:00,3496134,3981512
2021-04-28 00:00:00+00:00,3504799,3994894
2021-04-29 00:00:00+00:00,3514942,4009208
2021-04-30 00:00:00+00:00,3524077,4022653
2021-05-01 00:00:00+00:00,3524077,4035617
2021-05-02 00:00:00+00:00,3524077,4044762
2021-05-03 00:00:00+00:00,3540430,4050708
2021-05-04 00:00:00+00:00,3544945,4059821
2021-05-05 00:00:00+00:00,3551262,4070400
2021-05-06 00:00:00+00:00,3559222,4082198
2021-05-07 00:00:00+00:00,3567408,4092747
2021-05-08 00:00:00+00:00,3567408,4102921
2021-05-09 00:00:00+00:00,3567408,4111210
2021-05-10 00:00:00+00:00,3581392,4116287
2021-05-11 00:00:00+00:00,3586333,4123230
2021-05-12 00:00:00+00:00,3592751,4131078
2021-05-13 00:00:00+00:00,3598452,4139160
2021-05-14 00:00:00+00:00,3604799,4146722
2021-05-15 00:00:00+00:00,3604799,4153374
2021-05-16 00:00:00+00:00,3604799,4159122
2021-05-17 00:00:00+00:00,3615860,4162576
2021-05-18 00:00:00+00:00,3619848,4167025
2021-05-19 00:00:00+00:00,3625928,4172525
2021-05-20 00:00:00+00:00,3631661,4178261
2021-05-21 00:00:00+00:00,3636453,4183476
2021-05-22 00:00:00+00:00,3636453,4188190
2021-05-23 00:00:00+00:00,3636453,4192183
2021-05-24 00:00:00+00:00,3647520,4194672
2021-05-25 00:00:00+00:00,3652879,4197892
2021-05-26 00:00:00+00:00,3657886,4201827
2021-05-27 00:00:00+00:00,3663176,4205970
2021-05-28 00:00:00+00:00,3668658,4209707
2021-05-29 00:00:00+00:00,3668658,4213055
2021-05-30 00:00:00+00:00,3668658,4216003
2021-05-31 00:00:00+00:00,3678390,4217821
2021-06-01 00:00:00+00:00,3682778,4220304
2021-06-02 00:00:00+00:00,3687762,4223200
2021-06-03 00:00:00+00:00,3693012,4225163
2021-06-04 00:00:00+00:00,3697981,4227719
2021-06-05 00:00:00+00:00,3697981,4230153
2021-06-06 00:00:00+00:00,3697981,4232428
2021-06-07 00:00:00+00:00,3707523,4233698
2021-06-08 00:00:00+00:00,3711027,4235592
2021-06-09 00:00:00+00:00,3715454,4237790
2021-06-10 00:00:00+00:00,3729458,4239868
2021-06-11 00:00:00+00:00,3733600,4241760
2021-06-12 00:00:00+00:00,3733600,4243482
2021-06-13 00:00:00+00:00,3733600,4244872
2021-06-14 00:00:00+00:00,3741767,4245779
2021-06-15 00:00:00+00:00,3745199,4247032
2021-06-16 00:00:00+00:00,3749031,4248432
2021-06-17 00:00:00+00:00,3753228,4249755
2021-06-18 00:00:00+00:00,3757442,4250902
2021-06-19 00:00:00+00:00,3757442,4252095
2021-06-20 00:00:00+00:00,3757442,4252976
2021-06-21 00:00:00+00:00,3764651,4253460
2021-06-22 00:00:00+00:00,3768691,4254294
2021-06-23 00:00:00+00:00,3773032,4255434
2021-06-24 00:00:00+00:00,3777539,4255700
2021-06-25 00:00:00+00:00,3782463,4256451
2021-06-26 00:00:00+00:00,3782463,4257289
2021-06-27 00:00:00+00:00,3782463,4258069
2021-06-28 00:00:00+00:00,3792642,4258456
2021-06-29 00:00:00+00:00,3799733,4259133
2021-06-30 00:00:00+00:00,3808960,4259909
2021-07-01 00:00:00+00:00,3821305,4260788
2021-07-02 00:00:00+00:00,3833868,4261582
2021-07-03 00:00:00+00:00,3833868,4262511
